#time;posL;posR;velL;velR
0:00:22.717229;-8988.0;22373.0;0.0;-2.0
0:00:22.819882;-8986.0;22346.0;6.0;0.0
0:00:22.917291;-8911.0;22350.0;24.0;16.0
0:00:23.019852;-8538.0;22559.0;57.0;43.0
0:00:23.117159;-7827.0;23224.0;74.0;96.0
0:00:23.219614;-6815.0;24419.0;104.0;133.0
0:00:23.317728;-5530.0;26106.0;139.0;171.0
0:00:23.419711;-3745.0;28302.0;201.0;175.0
0:00:23.517701;-1152.0;30615.0;255.0;198.0
0:00:23.619993;2154.0;-32363.0;288.0;215.0
0:00:23.717683;5828.0;-29617.0;312.0;261.0
0:00:23.820314;9887.0;-26235.0;337.0;297.0
0:00:23.917582;14187.0;-22443.0;339.0;330.0
0:00:24.019941;18614.0;-18157.0;318.0;372.0
0:00:24.118147;22657.0;-13433.0;307.0;394.0
0:00:24.220718;26623.0;-8331.0;320.0;396.0
0:00:24.317754;30709.0;-3293.0;332.0;377.0
0:00:24.420212;-30526.0;1643.0;342.0;370.0
0:00:24.518664;-26146.0;6354.0;356.0;362.0
0:00:24.620613;-21502.0;11076.0;369.0;359.0
0:00:24.717945;-16805.0;15655.0;368.0;358.0
0:00:24.820667;-12041.0;20301.0;361.0;355.0
0:00:24.918065;-7453.0;24789.0;357.0;345.0
0:00:25.020758;-2819.0;29253.0;366.0;342.0
0:00:25.118092;1813.0;-31931.0;367.0;340.0
0:00:25.220771;6570.0;-27540.0;373.0;358.0
0:00:25.318334;11296.0;-22979.0;370.0;379.0
0:00:25.420653;16104.0;-18082.0;369.0;389.0
0:00:25.518672;20791.0;-13119.0;370.0;378.0
0:00:25.620879;25576.0;-8228.0;362.0;365.0
0:00:25.718679;30161.0;-3573.0;353.0;361.0
0:00:25.821143;-30781.0;1137.0;336.0;352.0
0:00:25.918847;-26507.0;5609.0;332.0;334.0
0:00:26.020963;-22211.0;9946.0;319.0;320.0
0:00:26.118889;-18166.0;14017.0;294.0;297.0
0:00:26.221283;-14339.0;17838.0;255.0;254.0
0:00:26.318853;-11084.0;21066.0;213.0;219.0
0:00:26.421093;-8318.0;23882.0;196.0;186.0
0:00:26.519190;-5852.0;26302.0;172.0;168.0
0:00:26.621452;-3610.0;28486.0;169.0;148.0
0:00:26.719198;-1462.0;30344.0;145.0;123.0
0:00:26.821443;398.0;31919.0;122.0;109.0
0:00:26.918986;1965.0;-32194.0;107.0;104.0
0:00:27.021227;3365.0;-30870.0;104.0;95.0
0:00:27.119238;4681.0;-29634.0;96.0;86.0
0:00:27.222003;5943.0;-28505.0;85.0;76.0
0:00:27.319340;7036.0;-27559.0;67.0;55.0
0:00:27.421770;7933.0;-26840.0;49.0;41.0
0:00:27.519140;8530.0;-26330.0;16.0;12.0
0:00:27.621913;8791.0;-26193.0;12.0;0.0
0:00:27.719499;8969.0;-26210.0;47.0;-44.0
0:00:27.821545;9485.0;-26776.0;74.0;-64.0
0:00:27.919484;10447.0;-27652.0;124.0;-84.0
0:00:28.021906;12050.0;-28757.0;158.0;-99.0
0:00:28.119661;14088.0;-30035.0;189.0;-123.0
0:00:28.222015;16491.0;-31624.0;183.0;-150.0
0:00:28.319465;18853.0;32003.0;175.0;-156.0
0:00:28.422195;21096.0;29954.0;148.0;-158.0
0:00:28.519949;22898.0;27978.0;117.0;-155.0
0:00:28.623639;24404.0;26013.0;104.0;-150.0
0:00:28.719697;25808.0;24088.0;96.0;-112.0
0:00:28.821994;27032.0;22628.0;92.0;-115.0
0:00:28.919768;28173.0;21180.0;107.0;-131.0
0:00:29.022475;29584.0;19480.0;133.0;-155.0
0:00:29.120180;31264.0;17519.0;145.0;-175.0
0:00:29.222702;-32420.0;15197.0;133.0;-194.0
0:00:29.320006;-30711.0;12747.0;119.0;-169.0
0:00:29.422635;-29191.0;10554.0;99.0;-140.0
0:00:29.520064;-27899.0;8779.0;76.0;-107.0
0:00:29.622668;-26910.0;7447.0;46.0;-66.0
0:00:29.721764;-26277.0;6617.0;35.0;-34.0
0:00:29.822751;-25889.0;6178.0;23.0;-14.0
0:00:29.920199;-25645.0;5954.0;6.0;-4.0
0:00:30.022663;-25545.0;5887.0;-1.0;0.0
0:00:30.120317;-25558.0;5892.0;-2.0;-2.0
0:00:30.222883;-25574.0;5870.0;-6.0;-4.0
0:00:30.320567;-25695.0;5827.0;0.0;-10.0
0:00:30.422858;-25685.0;5724.0;0.0;-1.0
0:00:30.520427;-25686.0;5725.0;0.0;0.0
0:00:30.624127;-25685.0;5725.0;0.0;0.0
0:00:30.720921;-25688.0;5726.0;0.0;0.0
0:00:30.823226;-25687.0;5724.0;0.0;0.0
0:00:30.921476;-25687.0;5724.0;0.0;0.0
0:00:31.025791;-25687.0;5724.0;0.0;0.0
0:00:31.121047;-25687.0;5724.0;0.0;0.0
0:00:31.223293;-25687.0;5724.0;0.0;0.0
0:00:31.321206;-25687.0;5724.0;0.0;0.0
